Ecosystem,Area,AGB_C,RootBio_C,AMbio_C,Allo_C,Bottom.depth,Bulk.C,MAOM_C,POM_C,PgC,MAOM_PgC,POM_PgC
Cropland,29454097,25.333333333333332,6.333333333333333,1.3990696075,0.836,17.934782608695652,17.244380766109785,12.980369451073985,3.631412303846395,123.08957305009346,95.15941460743178,22.297829542002635
Savanna & Shrubland,40534385.95,52.5,25.7575,1.925383332625,2.31,10.611940298507463,24.85901550477612,11.37021836935821,8.887902121298508,128.60252311057846,62.32889910928542,49.652656026252835
Temperate Forest,11362438.88,52.1,14.33375,0.5397158468,1.1983000000000001,13.869158878504672,40.59227710785047,23.319281294476635,13.91323951821,80.618805710819,48.26299031612727,24.755257693771004
Temperate Grassland,10932796.05,11,22,0.519307812375,0.7150000000000001,15.415441176470589,33.07808384207273,20.38938524610507,12.246796589779816,72.6668040411308,45.43911018967836,25.052725347608693
Tropical Forest,31956859.35,179,49.76942857142857,1.517950819125,4.117,11.758620689655173,31.339741351666667,22.53689532648276,8.158886191724138,162.0537684976846,108.10381318145373,42.55547704880173
